date,open,high,low,close,volume,turnover,code,name
6/10/2022,6995.87,7100.77,6986.24,7037.77,34684893,1380361910,TMTI,المواد الأساسية
5/10/2022,7050.19,7052.95,6936.41,6976.57,40096048,1641067600,TMTI,المواد الأساسية
4/10/2022,6919.91,6989.76,6908.64,6979.13,38330226,1531988676,TMTI,المواد الأساسية
3/10/2022,6795.86,6886.62,6793.49,6868.14,34444715,1398721368,TMTI,المواد الأساسية
2/10/2022,6751.32,6816.93,6692.5,6776.09,28291870,1130407761,TMTI,المواد الأساسية
29/09/2022,6695.95,6762.93,6695.84,6750.53,39781525,1678774167,TMTI,المواد الأساسية
28/09/2022,6563.78,6697.44,6510.71,6640.95,38042786,1805704852,TMTI,المواد الأساسية
27/09/2022,6470.66,6562.23,6442.58,6511.08,37343963,1560774061,TMTI,المواد الأساسية
26/09/2022,6538.9,6593.01,6421.76,6421.76,38281197,1745660917,TMTI,المواد الأساسية
25/09/2022,6530.13,6581.25,6507.48,6567.17,28811156,1144105059,TMTI,المواد الأساسية
21/09/2022,6728.48,6763.85,6684.23,6744.29,26001200,997670943.2,TMTI,المواد الأساسية
20/09/2022,6819.94,6858.09,6724.61,6724.61,26127297,1117911435,TMTI,المواد الأساسية
19/09/2022,6748,6815,6697.76,6764.26,32522419,1406590171,TMTI,المواد الأساسية
18/09/2022,6948.28,6948.37,6717.88,6771.14,30152288,1467229439,TMTI,المواد الأساسية
15/09/2022,7089.42,7122.25,6964.74,6964.74,33940003,1641391296,TMTI,المواد الأساسية
14/09/2022,7006.46,7127.42,7005.4,7064.51,25053638,1174219266,TMTI,المواد الأساسية
13/09/2022,7188.57,7217.31,7128.88,7210.38,28764257,1416164899,TMTI,المواد الأساسية
12/9/2022,7171.31,7180.95,7119.89,7180.41,23298325,1093883001,TMTI,المواد الأساسية
11/9/2022,7230.74,7278.27,7197.99,7205.46,27963248,1275011563,TMTI,المواد الأساسية
8/9/2022,7168.16,7198.25,7058.27,7138.26,32326718,1636203431,TMTI,المواد الأساسية
7/9/2022,7313.88,7322.59,7150.87,7154.06,31684166,1615437404,TMTI,المواد الأساسية
6/9/2022,7434.02,7478.61,7338.55,7338.55,28517245,1395765163,TMTI,المواد الأساسية
5/9/2022,7466.74,7519.86,7440.72,7440.72,25375001,1312725524,TMTI,المواد الأساسية
4/9/2022,7381.1,7490.89,7371.56,7453.9,24308139,1265099039,TMTI,المواد الأساسية
1/9/2022,7452.61,7461.36,7344.46,7404.51,35000972,1757027003,TMTI,المواد الأساسية
31/08/2022,7611.57,7622.03,7454.77,7454.77,44885248,2417858830,TMTI,المواد الأساسية
30/08/2022,7732.77,7755.41,7625.21,7640.31,31006255,1732662560,TMTI,المواد الأساسية
29/08/2022,7717.06,7761.36,7681.05,7708.04,32894531,2011753902,TMTI,المواد الأساسية
28/08/2022,7535.54,7724.67,7522.4,7697.93,33830266,2077232158,TMTI,المواد الأساسية
25/08/2022,7496.96,7624.53,7495.33,7620.06,27215332,1671802361,TMTI,المواد الأساسية
24/08/2022,7399.5,7468.48,7332.89,7452.52,26662357,1403212137,TMTI,المواد الأساسية
23/08/2022,7519.1,7545.67,7386.51,7386.51,25784758,1212711067,TMTI,المواد الأساسية
22/08/2022,7512.87,7567.41,7487,7544.55,23323206,1130708757,TMTI,المواد الأساسية
21/08/2022,7665.17,7667.17,7526.92,7528.91,20978698,1062590251,TMTI,المواد الأساسية
